Annual Net emissions/removals 
Query results for — Party: Afghanistan and 92 other(s) | Year: 1990 and 29 other(s) | Category: 2.B  Chemical Industry | Classification: Total for category | Type of value: Net emissions/removals | Gas: Aggregate GHGs and 7 other(s) | Unit: Gg and 1 other(s)

Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.71,1000.71,,,,,1000.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2829.975,2829.975,,,,,2829.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2829.975,2829.975,,,,,2829.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.67,28.67,,,,,28.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.47,18.47,,,,,18.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,NE,NE,50.6294,50.6294,0.1301172,2.7324612,NE,NE,53.3618612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,1.38,,,,,,0.69,213.89999999999998,213.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,,,,,,,,0.47,,,,,,,,,,,59.39,,,,,,,,,,,130.98,,,,,,,,,,,150.9,,,,,,,,,,,229.12,,,,,,,,,,,153.49,,,,,,,,,,,114.96,,,,,,,,,,,292.17,,,,,,,,,,,217.42,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,210.8,210.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.051181,533.051181,,,,,533.051181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,26.6,,,1683,1683,5.1,107.1,10.69,3313.8999999999996,5104,,24.8,,,1478,1478,5.1,107.1,13.46,4172.6,5757.7,,24.7,,,1516,1516,5.3,111.3,12.55,3890.5,5517.8,,27.8,,,1684,1684,5.9,123.9,16.14,5003.400000000001,6811.3,,30.6,,,1689,1689,6.5,136.5,16.31,5056.099999999999,6881.6,,31.4,,,1785,1785,6.4,134.4,17.45,5409.5,7328.9,,31.4,,,1754,1754,6.4,134.4,13.62,4222.2,6110.6,,33.7,,,1829,1829,7.3,153.29999999999998,12.12,3757.2,5739.5,,35,,,1718,1718,7.8,163.79999999999998,19.07,5911.7,7793.5,,37.5,,,1943,1943,8.2,172.2,18.98,5883.8,7999,,43,,,1663,1663,8.9,186.9,19.94,6181.400000000001,8031.3,,40.7,,,1396,1396,8.5,178.5,16.25,5037.5,6612,,42.3,,,1567,1567,8.2,172.2,20.29,6289.9,8029.1,,45.3,,,1690,1690,8.8,184.8,18.62,5772.200000000001,7647,,49.1,,,1934,1934,9.2,193.2,25.99,8056.9,10184.1,,49.1,,,1922,1922,9.2,193.2,22.83,7077.299999999999,9192.5,,53.9,,,1968,1968,12.2,256.2,24.78,7681.8,9906,,56.3,,,1866,1866,12.5,262.5,2.94,911.4,3039.9,,56.6,,,1811,1811,11.3,237.3,2.28,706.8,2755.1,,59.5,,,1576,1576,11.7,245.7,1.01,313.1,2134.8,,61.2,,,1739,1739,11.6,243.6,0.93,288.3,2270.9,,59.4,,,1995,1995,12.9,270.90000000000003,0.93,288.3,2554.2,,59.4,,,1758,1758,11.2,235.2,0.63,195.3,2188.5,,59.4,,,1805,1805,11.7,245.7,0.66,204.60000000000002,2255.3,,59.4,,,1805,1805,11.7,245.7,0.88,272.8,2323.5,,59.4,,,1805,1805,11.7,245.7,0.71,220.1,2270.8,,59.4,,,1805,1805,11.7,245.7,0.7,217,2267.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90476190476191,19.00000000000011,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.71,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,NE,,1.1,NE,603.3,603.3,2.168,45.528000000000006,1,310,958.828,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,22.9,,,1.9,39.9,0.5,155,194.9,NE,,1.1,NE,611.4,611.4,2.184,45.864000000000004,1,310,967.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,1.9,NE,1961,1961,6.841,143.661,1.7,527,2631.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3131524,4.020816,83.4676134937624,,,6.411716,134.646036,0.670136,207.74215999999998,342.388196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,3.6,NE,645.1,645.1,2.285,47.985,0.5,155,848.085,,,,,,,,,,,,,,,,,,,,,,,NE,,6.9,NE,200.5,200.5,0.842,17.682,1.1,341,559.182,,,,,,,,,,,,,,,,,,,,,,,NE,NO,5.8,NE,259.3,259.3,0.89,18.69,0.6,186,463.99,,,,,,,,,,,,NE,NO,5.6,NE,402,402,1.38,28.979999999999997,0.3,93,523.98,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3968,3968,,,15,4650,8618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118413,118413,NE,NE,200,62000,180413,,,,,,,,,,,,,,,,131076,131076,NE,NE,255,79050,210126,,,,,,,,,,,,,,,,141963,141963,NA,NA,311,96410,238373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
