Column1,Code,Data Version,Source/Object,Type,Target/Process,Research Year,Country/Reg,Product,Value,Value unit,Capacity unit,MeasType,Provenance,Value_sigma,ei_match,ei_CO2e_20a_cradle-to-gate,ei_CO2e_20a_cradle-to-gate_sigma,ei_CO2e_20a_conv_factor,ei_CO2e_20a_conv_factor_sigma,ei_CO2e_100a_cradle-to-gate,ei_CO2e_100a_cradle-to-gate_sigma,ei_CO2e_100a_conv_factor,ei_CO2e_100a_conv_factor_sigma,ei_Carbon dioxide_cradle-to-gate,ei_Carbon dioxide_cradle-to-gate_sigma,ei_Carbon dioxide_conv_factor,ei_Carbon dioxide_conv_factor_sigma,ei_Carbon monoxide_cradle-to-gate,ei_Carbon monoxide_cradle-to-gate_sigma,ei_Carbon monoxide_conv_factor,ei_Carbon monoxide_conv_factor_sigma,ei_Chloroform_cradle-to-gate,ei_Chloroform_cradle-to-gate_sigma,ei_Chloroform_conv_factor,ei_Chloroform_conv_factor_sigma,ei_Dinitrogen monoxide_cradle-to-gate,ei_Dinitrogen monoxide_cradle-to-gate_sigma,ei_Dinitrogen monoxide_conv_factor,ei_Dinitrogen monoxide_conv_factor_sigma,ei_Ethane_cradle-to-gate,ei_Ethane_cradle-to-gate_sigma,ei_Ethane_conv_factor,ei_Ethane_conv_factor_sigma,ei_Methane_cradle-to-gate,ei_Methane_cradle-to-gate_sigma,ei_Methane_conv_factor,ei_Methane_conv_factor_sigma,ei_Nitric oxide_cradle-to-gate,ei_Nitric oxide_cradle-to-gate_sigma,ei_Nitric oxide_conv_factor,ei_Nitric oxide_conv_factor_sigma,ei_Nitrogen fluoride_cradle-to-gate,ei_Nitrogen fluoride_cradle-to-gate_sigma,ei_Nitrogen fluoride_conv_factor,ei_Nitrogen fluoride_conv_factor_sigma,ei_Perfluoropentane_cradle-to-gate,ei_Perfluoropentane_cradle-to-gate_sigma,ei_Perfluoropentane_conv_factor,ei_Perfluoropentane_conv_factor_sigma,ei_Sulfur hexafluoride_cradle-to-gate,ei_Sulfur hexafluoride_cradle-to-gate_sigma,ei_Sulfur hexafluoride_conv_factor,ei_Sulfur hexafluoride_conv_factor_sigma,ei_Other_cradle-to-gate,ei_Other_cradle-to-gate_sigma,ei_Other_conv_factor,ei_Other_conv_factor_sigma,cm_match,cm_CO2e_20a_cradle-to-gate,cm_CO2e_20a_cradle-to-gate_sigma,cm_CO2e_20a_conv_factor,cm_CO2e_20a_conv_factor_sigma,cm_CO2e_100a_cradle-to-gate,cm_CO2e_100a_cradle-to-gate_sigma,cm_CO2e_100a_conv_factor,cm_CO2e_100a_conv_factor_sigma,cm_Carbon dioxide_cradle-to-gate,cm_Carbon dioxide_cradle-to-gate_sigma,cm_Carbon dioxide_conv_factor,cm_Carbon dioxide_conv_factor_sigma,cm_Carbon monoxide_cradle-to-gate,cm_Carbon monoxide_cradle-to-gate_sigma,cm_Carbon monoxide_conv_factor,cm_Carbon monoxide_conv_factor_sigma,cm_Chloroform_cradle-to-gate,cm_Chloroform_cradle-to-gate_sigma,cm_Chloroform_conv_factor,cm_Chloroform_conv_factor_sigma,cm_Dinitrogen monoxide_cradle-to-gate,cm_Dinitrogen monoxide_cradle-to-gate_sigma,cm_Dinitrogen monoxide_conv_factor,cm_Dinitrogen monoxide_conv_factor_sigma,cm_Ethane_cradle-to-gate,cm_Ethane_cradle-to-gate_sigma,cm_Ethane_conv_factor,cm_Ethane_conv_factor_sigma,cm_Methane_cradle-to-gate,cm_Methane_cradle-to-gate_sigma,cm_Methane_conv_factor,cm_Methane_conv_factor_sigma,cm_Nitric oxide_cradle-to-gate,cm_Nitric oxide_cradle-to-gate_sigma,cm_Nitric oxide_conv_factor,cm_Nitric oxide_conv_factor_sigma,cm_Nitrogen fluoride_cradle-to-gate,cm_Nitrogen fluoride_cradle-to-gate_sigma,cm_Nitrogen fluoride_conv_factor,cm_Nitrogen fluoride_conv_factor_sigma,cm_Perfluoropentane_cradle-to-gate,cm_Perfluoropentane_cradle-to-gate_sigma,cm_Perfluoropentane_conv_factor,cm_Perfluoropentane_conv_factor_sigma,cm_Sulfur hexafluoride_cradle-to-gate,cm_Sulfur hexafluoride_cradle-to-gate_sigma,cm_Sulfur hexafluoride_conv_factor,cm_Sulfur hexafluoride_conv_factor_sigma,cm_Other_cradle-to-gate,cm_Other_cradle-to-gate_sigma,cm_Other_conv_factor,cm_Other_conv_factor_sigma
2996,2M-1280,2021 Q3,COOLING WATER,Indirect Utilities,ETHYLENE FROM ETHANOL BY FLUIDIZED-BED CATALYTIC DEHYDRATION,1998,Germany,ETHYLENE,14.4375429,kg/kg,MM KG/yr,Utilities,IHS PEP,0.7218771448911301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2997,2M-1280,2021 Q3,ELECTRICITY,Indirect Utilities,ETHYLENE FROM ETHANOL BY FLUIDIZED-BED CATALYTIC DEHYDRATION,1998,Germany,ETHYLENE,0.337230099,kWh/kg,MM KG/yr,Utilities,IHS PEP,0.016861505,"electricity, medium voltage",0.2242273374723113,0.033634101,0.6649090277047398,0.066490903,0.1972935039791113,0.029594026,0.5850412058672869,0.058504121,0.1796066995400893,0.026941005,0.5325939169892919,0.053259392,0.000126941,1.9041109362865853e-05,0.000376422,3.764217053283001e-05,7.887043776560546e-10,1.1830565664840822e-10,2.3387721889999997e-09,2.3387721889999997e-10,5.928575514387243e-06,8.892863271580866e-07,1.758020866404e-05,1.758020866404e-06,1.628193233361356e-09,2.4422898500420344e-10,4.828137335588799e-09,4.8281373355888e-10,0.000484312,7.264679700180638e-05,0.001436147,0.000143615,8.561229507057184e-13,1.2841844260585778e-13,2.5386908e-12,2.5386908e-13,3.974117107591558e-18,5.961175661387338e-19,1.1784586e-17,1.1784586000000002e-18,0,0,0,0,5.216511913881928e-08,7.824767870822892e-09,1.5468702004713098e-07,1.54687020047131e-08,3.089194268002127e-12,4.633791402003191e-13,9.1604939e-12,9.1604939e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2998,2M-1280,2021 Q3,NATURAL GAS,Indirect Utilities,ETHYLENE FROM ETHANOL BY FLUIDIZED-BED CATALYTIC DEHYDRATION,1998,Germany,ETHYLENE,0.038358987,kg/kg,MM KG/yr,Utilities,IHS PEP,0.001917949,"natural gas, high pressure",0.028824357,0.004323654,0.7514368803090485,0.075143688,0.015136476,0.002270471,0.394600531,0.039460053,0.007660997,0.00114915,0.199718439,0.019971844,2.092401560857788e-05,3.1386023412866624e-06,0.000545479,5.454788422389e-05,7.532726817160584e-14,1.1299090225740804e-14,1.963744999999996e-12,1.9637449999999962e-13,1.3934129239806753e-07,2.090119385971e-08,3.632559269465e-06,3.632559269465e-07,1.4966698288846224e-11,2.24500474332692e-12,3.901744964954e-10,3.901744964954e-11,0.000247159,3.707389134695928e-05,0.006443321,0.000644332,1.229959616594166e-13,1.8449394248912372e-14,3.2064445e-12,3.2064445000000013e-13,1.3217730401873778e-19,1.9826595602810543e-20,3.4457976e-18,3.4457976000000003e-19,0,0,0,0,1.9476834579812888e-10,2.9215251869719147e-11,5.077515413781031e-09,5.07751541378103e-10,-7.94E-13,-1.19E-13,-2.07E-11,-2.07E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2994,2M-1280,2021 Q3,CATALYST,Raw Material,ETHYLENE FROM ETHANOL BY FLUIDIZED-BED CATALYTIC DEHYDRATION,1998,Germany,ETHYLENE,,,MM KG/yr,Recipe,IHS PEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2995,2M-1280,2021 Q3,ETHANOL.,Raw Material,ETHYLENE FROM ETHANOL BY FLUIDIZED-BED CATALYTIC DEHYDRATION,1998,Germany,ETHYLENE,1.649990399,kg/kg,MM KG/yr,Recipe,IHS PEP,0.08249952,"ethanol, without water, in 99.7% solution state, from ethylene",3.2428238252957504,0.4864235737943625,1.9653592094904373,0.1965359209490437,2.5196467417913446,0.3779470112687016,1.5270675175178725,0.1527067517517872,2.122371508,0.3183557262556994,1.2862932476935538,0.1286293247693553,0.002490502,0.000373575,0.001509404,0.00015094,5.613931715937982e-09,8.42089757390697e-10,3.402402657e-09,3.4024026570000004e-10,5.958322518338436e-06,8.937483777507654e-07,3.6111255700000007e-06,3.611125570000001e-07,3.300422645764876e-08,4.950633968647313e-09,2.000267788668173e-08,2.0002677886681723e-09,0.012938726,0.001940809,0.007841697,0.00078417,1.8902232255744286e-11,2.835334838361643e-12,1.1455965e-11,1.1455965e-12,-4.36E-17,-6.54E-18,-2.64E-17,-2.64E-18,0,0,0,0,1.867958402706584e-08,2.801937604059876e-09,1.1321025894367272e-08,1.132102589436727e-09,4.1141278044188216e-10,6.171191706628232e-11,2.4934253e-10,2.4934253e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11553,2M-2119,2022 Q1,FUEL GAS,By-Product,ETHYLENE FROM ETHANOL DEHYDRATION PROCESS BY BRASKEM,2021,Germany,ETHYLENE,-0.021495857,kg/kg,MM KG/yr,Recipe,IHS PEP,0.001074793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4415,2M-2119,2022 Q1,COOLING WATER,Direct Utilities,ETHYLENE FROM ETHANOL DEHYDRATION PROCESS BY BRASKEM,2021,Germany,ETHYLENE,45.56588683,kg/kg,MM KG/yr,Utilities,IHS PEP,2.278294342,COOLING WATER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4416,2M-2119,2022 Q1,ELECTRICITY,Direct Utilities,ETHYLENE FROM ETHANOL DEHYDRATION PROCESS BY BRASKEM,2021,Germany,ETHYLENE,0.392422827,kWh/kg,MM KG/yr,Utilities,IHS PEP,0.019621141,ELECTRICITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4419,2M-2119,2022 Q1,NATURAL GAS,Direct Utilities,ETHYLENE FROM ETHANOL DEHYDRATION PROCESS BY BRASKEM,2021,Germany,ETHYLENE,0.05651928,kg/kg,MM KG/yr,Utilities,IHS PEP,0.002825964,NATURAL GAS,0.1526020554493309,0.013282031,2.7,0.1,0.1526020554493309,0.013282031,2.7,0.1,0.1526020554493309,0.013282031,2.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4417,2M-2119,2022 Q1,PROCESS WATER,Direct Utilities,ETHYLENE FROM ETHANOL DEHYDRATION PROCESS BY BRASKEM,2021,Germany,ETHYLENE,0.008929579,kg/kg,MM KG/yr,Utilities,IHS PEP,0.000446479,PROCESS WATER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
