"Annual Net emissions/removals, Production and Implied emission factor "
Query results for — Party: Australia and 44 other(s) | Year: 1990 and 3 other(s) | Category: 2.B  Chemical Industry and 31 other(s) | Classification: Total for category | Type of value: Net emissions/removals and 2 other(s) | Gas: Aggregate GHGs and 8 other(s) | Unit: kt and 4 other(s)

 ,Year,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020)
Australia,2.B.4.c  Glyoxylic Acid,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,
Australia,2.B.5  Carbide Production,NO,NO,NO,,,,"NO,IE","NO,IE","NO,IE",,,,,,,"IE,NO",,,,NO,NO,NO,NO,"NO,IE",NO,,,,,,,,,,,,,,NO,NO,NO,,,,"NO,IE","NO,IE","NO,IE",,,,,,,"IE,NO",,,,NO,NO,NO,NO,"NO,IE",NO,,,,,,,,,,,,,,NO,NO,NO,,,,"NO,IE","NO,IE","NO,IE",,,,,,,"IE,NO",,,,NO,NO,NO,NO,"NO,IE",NO,,,,,,,,,,,,,,NO,NO,NO,,,,"NO,IE","NO,IE","NO,IE",,,,,,,"IE,NO",,,,NO,NO,NO,NO,"IE,NO",NO,,,,,,,,,,,,,
Australia,2.B.5.a  Silicon Carbide,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,
Australia,2.B.5.b  Calcium Carbide,NO,NO,NO,,,,IE,IE,IE,,,,,,,"IE,NO",,,,,,,,"IE,NO",NO,,,,,,,,,,,,,,NO,NO,NO,,,,IE,IE,IE,,,,,,,"IE,NO",,,,,,,,"IE,NO",NO,,,,,,,,,,,,,,NO,NO,NO,,,,IE,IE,IE,,,,,,,"IE,NO",,,,,,,,"IE,NO",NO,,,,,,,,,,,,,,NO,NO,NO,,,,IE,IE,IE,,,,,,,"IE,NO",,,,,,,,"IE,NO",NO,,,,,,,,,,,,,
Australia,2.B.6  Titanium Dioxide Production,,,,,,,415.11969387755096,415119.69387755095,415.11969387755096,,,,,,,415.11969387755096,,,,,,,,"IE,NO",,,,,,,,,,,,,,,,,,,,,920.4425150976222,920442.5150976222,920.4425150976222,,,,,,,920.442515097622,,,,,,,,"IE,NO",,,,,,,,,,,,,,,,,,,,,1016.2115320500001,1016211.53205,1016.2115320500001,,,,,,,1016.2115320500002,,,,,,,,"IE,NO",,,,,,,,,,,,,,,,,,,,,832.522917148875,832522.917148875,832.522917148875,,,,,,,832.5229171488751,,,,,,,,"IE,NO",,,,,,,,,,,,,,
Australia,2.B.7  Soda Ash Production,,,,,,,IE,IE,IE,,,,,,,IE,,,,,,,,"IE,NO",,,,,,,,,,,,,,,,,,,,,IE,IE,IE,,,,,,,IE,,,,,,,,"IE,NO",,,,,,,,,,,,,,,,,,,,,IE,IE,IE,,,,,,,IE,,,,,,,,"IE,NO",,,,,,,,,,,,,,,,,,,,,IE,IE,IE,,,,,,,IE,,,,,,,,"IE,NO",,,,,,,,,,,,,,
Australia,2.B.8  Petrochemical and Carbon Black Production,0.437626074,437.62607399999996,10.94065185,,,,"NO,IE","NO,IE","NO,IE",,,,,,,10.94065185,,,,NO,NO,NO,NO,,,,,,,,,,,,,,,,0.5786838,578.6838,14.467094999999999,,,,"NO,IE","NO,IE","NO,IE",,,,,,,14.467095,,,,NO,NO,NO,NO,,,,,,,,,,,,,,,,0.5777636,577.7636,14.444090000000001,,,,"NO,IE","NO,IE","NO,IE",,,,,,,14.44409,,,,NO,NO,NO,NO,,,,,,,,,,,,,,,,0.4336,433.59999999999997,10.84,,,,"NO,IE","NO,IE","NO,IE",,,,,,,10.84,,,,NO,NO,NO,NO,,,,,,,,,,,,,,,
Australia,2.B.8.a  Methanol,IE,IE,IE,,,,IE,IE,IE,,,,,,,IE,,,,,,,,NO,"IE,NO",,,,,,,,,,,,,,IE,IE,IE,,,,IE,IE,IE,,,,,,,IE,,,,,,,,NO,"IE,NO",,,,,,,,,,,,,,IE,IE,IE,,,,IE,IE,IE,,,,,,,IE,,,,,,,,NO,"IE,NO",,,,,,,,,,,,,,IE,IE,IE,,,,IE,IE,IE,,,,,,,IE,,,,,,,,NO,"IE,NO",,,,,,,,,,,,,
Australia,2.B.8.b  Ethylene,IE,IE,IE,,,,NO,NO,NO,,,,,,,"IE,NO",,,,,,,,NO,"IE,NO",,,,,,,,,,,,,,IE,IE,IE,,,,NO,NO,NO,,,,,,,"IE,NO",,,,,,,,NO,"IE,NO",,,,,,,,,,,,,,IE,IE,IE,,,,NO,NO,NO,,,,,,,"IE,NO",,,,,,,,NO,"IE,NO",,,,,,,,,,,,,,IE,IE,IE,,,,NO,NO,NO,,,,,,,"IE,NO",,,,,,,,NO,"IE,NO",,,,,,,,,,,,,
Australia,2.B.8.c  Ethylene Dichloride and Vinyl Chloride Monomer,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,
